Date,Daily,Cases,Deaths
01,2,2,0
02/03/2020,2,4,0
03/03/2020,9,13,0
04/03/2020,5,18,0
05/03/2020,0,18,0
06/03/2020,0,18,0
07/03/2020,2,20,0
08/03/2020,1,21,0
09/03/2020,0,21,0
10/03/2020,0,21,0
11/03/2020,0,21,0
12/03/2020,6,27,1
13/03/2020,1,28,1
14/03/2020,11,39,3
15/03/2020,15,54,4
16/03/2020,6,60,4
17/03/2020,2,62,5
18/03/2020,12,74,7
19/03/2020,16,90,8
20,4,94,12
21,45,139,15
22,62,201,17
23,29,230,17
24,34,264,19
25,38,302,21
26,65,367,25
27,42,409,26
28,45,454,29
29,57,511,31
30,73,584,35
31,132,716,44